id,name,Primary Term,Icon,Description,Sprache,Appointment Needed,Children Welcome,Volunteer,Accessible by public transport,Telephone,Email,Free entry,Entry cost,Web Address,Wheelchair Accessible,Street location,Stadt,Bundesland,Postal Code,latitude,longitude
47699,Stadtteilauto Kolumbusplatz,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kolumbusplatz 
http://www.stattauto-muenchen.de/",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.119466,11.576807
47700,Stadtteilauto München,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kontaktdaten:
Stadtteilauto München
Schumacherring 29
81737 München
Postfach 830 836
81708 München
http://www.stadtteilauto.de/
info@stadtteilauto.de
http://www.stadtteilauto.de/
Tel. 089 / 63 77 777
Fax 089 / 62 57 778",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.099937,11.640626
51465,STATTAUTO München,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kontaktdaten:
STATTAUTO München
Hans-Mielich-Str. 2
81543 München 
www.stattauto-muenchen.de 
info@stattauto-muenchen.de
Tel.: (089) 20 20 57 - 0
Fax.: (089) 20 20 57 57",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.116270,11.569906
51466,Umwelt Taxi München,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kontaktdaten:
TAXI Center Ostbahnhof GmbH
Haager Str. 7
81671 München
http://www.umwelt-taxi-muenchen.de/
post@taxi-ostbahnhof.de
Tel: (089) 448 44 44
Fax: (089) 448 88 78",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.126615,11.609134
52813,SWM Ladestationen für Elektroautos,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kontaktdaten:
SWM Ladestationen für Elektroautos
Stadtwerke München GmbH
Emmy-Noether-Straße 2
80992 München
http://www.swm.de/privatkunden/unternehmen/innovation/elektromobilitaet/...
Tel: 089/23 61-20 30",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.171967,11.532941
52858,e-motors - Events und Projekte UG,Alternative Fuel/Vehicles,Alternativer Kraftstoff,"Kontaktdaten: 
e-motors – Events und Projekte UG
Schäftlarnstraße 10 / Kontorhaus 1
D-81371 München
www.e-motors-online.de
info@e-motors-online.de
Tel +49 (0)89 / 5 23 31 14
fax +49 (0)89 / 76 75 59 85",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.116457,11.556523
51620,Gesundheitsladen München e.V.,Alternative Health Resource,Alternative Heilpraktiken,"Kontaktdaten:
Gesundheitsladen München e.V.
Informations- und Kommunikationszentrum
Waltherstr. 16a
80337 München
http://www.gl-m.de/
mail@gl-m.de",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.128695,11.561820
52610,Platform,Art Spot,Kunst,"Kontaktdaten:
PLATFORM
Kistlerhofstraße 70  Haus 60  3. Stock
81379 München
http://www.platform-muenchen.de/
contact@platform-muenchen.de
Tel.: +49 89 324 90 090",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.095289,11.524414
52607,little ART,Artisan/Art Studio,Kunsthandwerk,"little ART ist eine gemeinnützige Organisation zur Förderung der Kreativität von Kindern weltweit. Das Domizil von little ART ist  im Münchner Künstlerhaus, wo täglich kreative Workshops und Projekte durchgeführt werden.
Kontaktdaten:
little ART
Münchner Künstlerhaus
Lenbachplatz 8
80333 München
http://www.little-art.org/
e.janker@little-art.org
Tel.: +49 (0)89 – 288065-46",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.139888,11.567893
51460,Erholungsflächenverein,Bicycle Path >,Fahrradweg >,"Kontaktdaten:
Verein zur Sicherstellung
überörtlicher Erholungsgebiete
in den Landkreisen um München e.V.
Kardinal-Döpfner-Straße 8 / II
80333 München
http://www.efv-muenchen.de/
geschaeftsstelle@efv-muenchen.de
Tel. (089) 53 77 87, 53 22 06
Fax (089) 53 55 08",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.145252,11.577529
47676,Bike Kitchen,Bicycle Site,"Fahrräder & Service, Reparaturwerkstatt","im 8 below
Schuetzenstrasse 8",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.140039,11.562620
47677,Allgemeiner Deutscher Fahrrad-Club Kreisverband München e.V.,Bicycle Site,Fahrräder & Service,"Kontaktdaten:
Allgemeiner Deutscher Fahrrad-Club (ADFC) Kreisverband München e.V.
Platenstraße 4
80336 München, Deutschland ‎ 
http://www.adfc-muenchen.de/
info@adfc-muenchen.de 
Tel. 089 - 77 34 29
Fax. 089 - 77 85 37",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.128450,11.554531
51458,ADFC Bayern,Bicycle Site,Fahrräder & Service,"Kontaktdaten:
ADFC Bayern
Haus der bayerischen Landkreise
Kardinal-Döpfner-Str. 8
80333 München
http://www.adfc-bayern.de/
kontakt@adfc-bayern.de 
Tel.: 089 / 9090025-0
Fax: 089 / 9090025-25",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.145240,11.577471
48806,NaturKunst & Spiel,Child Friendly Site,"Kulturstätte, Kinderfreundlicher Ort","Kontaktdaten:
NaturKunst und Spiel
Zieblandstr. 11
80799 München
Tel.: 089 - 271 25 18
info@naturkunstundspiel.de 
www.naturkunstundspiel.de",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.160131,11.584396
51451,Jugendinformationszentrum München,Child Friendly Site,Kinderfreundlicher Ort,"Kontaktdaten:
Jugendinformationszentrum München
Herzogspitalstraße 24
-> Eingang: Herzog-Wilhelm-Straße
80331 München
http://www.jiz-muenchen.de/
info@jiz-muenchen.de
Tel: 089 - 550 521 50
Fax: 089 - 550 521 51",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.138111,11.566428
52597,Camigolo GmbH,Child Friendly Site,"Umweltbildung, Öko-Tour/Wanderweg, Kinderfreundlicher Ort","Kontaktdaten:
Camigolo GmbH
Jahnstraße 3
82152 Krailling
http://www.camigolo.de/
info@camigolo.de
Tel.: 0151/ 533 969 35",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.101642,11.420562
52621,Kinderstadtplan München,Child Friendly Site,Kinderfreundlicher Ort,"Kontaktdaten:
Kinderstadtplan München
Spiellandschaft Stadt
Albrechtstr. 37
80636 München
http://www.kids.muc.kobis.de/
http://www.kids.muc.kobis.de/start.htm
Tel. +49 (0)89 18 33 35
Fax: +49  (0)89 12799668",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.153547,11.541696
51445,Regsam,Community Center,Gemeindezentrum,"Kontaktdaten:
Trägerverein für regionale soziale Arbeit e.V.
Geschäftsbereich REGSAM
Bayerstraße 77a, Rgb.
80335 München
www.regsam.net
info@regsam.net
Tel.:+49 89-189358-0
Fax: +49 89-189358-20",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.138993,11.553149
51446,ZAK - Zusammen aktiv in Neuperlach Verein für Gemeinwesenarbeit,Community Center,Gemeindezentrum,"Kontaktdaten:
Zusammen aktiv in Neuperlach
Verein für Gemeinwesenarbeit
ZAK-Stadtteilbüro
Adenauerring 12
81737 München 
http://www.zak-neuperlach.de/
info@zak-neuperlach.de
Tel./Fax.: 089/6709840",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.103699,11.638191
52618,Ackermannbogen e.V.,Community Center,"Öko Klub/Organisation, Gemeindezentrum","Kontaktdaten:
Ackermannbogen e.V.
Rosa-Aschenbrenner-Bogen 9
80797 München
http://www.ackermannbogen-ev.de/
vorstand@ackermannbogen-ev.de  
Tel.: +49 (0) 89 - 30 74 96 34
Fax: +49 (0) 89 - 30 74 96 36",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.164858,11.558577
51625,urbane gärten münchen,Community Garden,Gemeindegarten,"Kontaktdaten
urbane gärten münchen
Verantwortlich:
Bürgerstiftung München
Klenzestraße 37,
80469 München
http://urbane-gaerten-muenchen.de/
info@urbane-gaerten-muenchen.de",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.130815,11.574738
52601,die urbanauten,Cultural Performance,"Öffentlicher Platz, Theater","Kontaktdaten:
die urbanauten
Ickstattstr. 9
80469 München
http://www.die-urbanauten.de/
info@die-urbanauten.de
Fon: +49 (0)89 – 5 18 18 740",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.128267,11.573072
47668,Glockenbachwerkstatt,Cultural Site,"Kulturstätte, Öko-Information, Ehrenamtliche Arbeit, Gemeindezentrum",email abwarten,,Appointment not needed,Kinder erwünscht,No Volunteer Opportunities,Anschluss zu öffentlichen Verkehrsmitteln,,,Freier Eintritt,,,Behindertengerecht,,,,,48.133523,11.573895
47669,Glockenbachwerkstatt,Cultural Site,"Kulturstätte, Öko-Information, Öko-Landwirtschaft/Permakultur, Kultureller Treffpunkt, Gemeindezentrum","Kontaktdaten:
Glockenbachwerkstatt e.V.
Blumenstraße 7
80331 München
http://www.glockenbachwerkstatt.de/
Tel.: +49 (0)89 26 88 38
Fax: +49 (0)89 2 60 64 34",,Appointment not needed,Kinder erwünscht,No Volunteer Opportunities,Anschluss zu öffentlichen Verkehrsmitteln,,,Freier Eintritt,,,Behindertengerecht,Blumenstrasse 7,Munich,,,48.133379,11.574250
51268,Climate Dance Project,Cultural Site,Kulturstätte,"Kontaktdaten:
Climate Dance Project
c/o Tapetenwechsel München
Brigitte Günther
Bauerstr. 27 a
80796 München
http://climate-dance.de/
climate-dance@gmx.de
Tel.: +49(0)89/ 28 70 10 57",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.159978,11.569577
51269,Pädagogische Aktion / Spielen in der Stadt e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Pädagogische Aktion/Spielen in der Stadt e. V.
Saarstraße 7
80797 München
http://www.spielen-in-der-stadt.de/
info@spielen-in-der-stadt.de
Tel.: +49 (0)89 / 52 300 695
Fax: +49 (0)89 / 52 300 696",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.164389,11.560908
51449,Frauenakademie München e.V.,Cultural Site,"Kulturstätte, Signifikante Organisation/Dienststelle","Kontaktdaten:
Frauenakademie München e.V.
Baaderstr. 3, 3. OG
80469 München
www.frauenakademie.de
info@frauenakademie.de
Tel: 089-721 188 1
Fax: 089-721 383 0",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.133142,11.581202
52324,Amerikahaus,Cultural Site,Kulturstätte,"Kontaktdaten:
Stiftung Bayerisches Amerikahaus gGmbH –
Bavarian Center for Transatlantic Relations
Karolinenplatz 3
80333 München
http://www.amerikahaus.de/
info@amerikahaus.de
Telefon: 089 55 25 37 0
Telefax: 089 55 25 37 37",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.144570,11.568056
52325,Pasinger Fabrik,Cultural Site,Kulturstätte,"Kontaktdaten:
Pasinger Fabrik GmbH
Kultur- und Bürgerzentrum der Landeshauptstadt München
August-Exter-Str. 1
81245 München
http://pasinger-fabrik.com/
info@pasinger-fabrik.com
Tel: 089 829 290-79",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.150891,11.461380
52327,Literaturhaus München,Cultural Site,Kulturstätte,"Kontaktdaten:
Stiftung Buch-, Medien-
und Literaturhaus München
Salvatorplatz 1
80333 München
http://www.literaturhaus-muenchen.de/
info@literaturhaus-muenchen.de
Tel.: 089 - 29 19 34 - 0
Fax.: 089 - 29 19 34 - 19",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.141825,11.575065
52328,Gasteig,Cultural Site,Kulturstätte,"Kontaktdaten:
GASTEIG MÜNCHEN GMBH
Rosenheimer Straße 5
81667 München
http://www.gasteig.de/
kommunikation@gasteig.de
Tel. +49 (0)89 48098-0
Fax +49 (0)89 48098-1000",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.131328,11.590410
52329,Instituto Cervantes München,Cultural Site,Kulturstätte,"Kontaktdaten:
Instituto Cervantes München
Alfons-Goppel-Str. 7
D-80539 München
http://munich.cervantes.es/de
cenmun@cervantes.es
Tel.: +49 (0)89 29 07 18 0
Fax: +49 (0)89 29 32 17",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.140058,11.580491
52331,Goethe-Institut e.V.,Cultural Site,Kulturstätte,"Kontaktdaten: 
Goethe-Institut e. V.
Dachauer Straße 122
80637 München
www.goethe.de
info@goethe.de 
Tel.: +49 89 15921-0",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.161826,11.544904
52332,Münchner Künstlerhaus-Stiftung,Cultural Site,Kulturstätte,"Kontaktdaten:
Münchner Künstlerhaus-Stiftung
Lenbachplatz 8
80333 München
http://www.kuenstlerhaus-muc.de/
info@kuenstlerhaus-muc.de
Tel.: 089 / 59 91 84 - 0
Fax.: 089 / 59 91 84 - 10",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.139879,11.567879
52333,Feierwerk e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Feierwerk e.V.
Hansastr. 39 - 41
81373 München
http://feierwerk.de/
kultur@feierwerk.de
Tel.: +49 (0) 89 72 488-0
Fax.: +49 (0) 89 72 48 8-109",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.128969,11.534110
52336,Tschechisches Zentrum München,Cultural Site,Kulturstätte,"Das Tschechische Zentrum München ist als Kulturinstitut eine Mittlerorganisation des tschechischen Außenministeriums. Durch Kunst- und Kulturveranstaltungen aller Sparten, so z.B. Lesungen, Ausstellungen, Filmvorführungen, Theatervorstellungen oder Konzerte, präsentiert es renommierte ebenso wie junge, zeitgenössische Vertreter der tschechischen Kunst- und Kulturszene sowie Wissenschaft in ganz Süddeutschland. Dabei arbeitet es mit staatlichen und kommunalen Einrichtungen, aber auch mit Vereinen und ehrenamtlichen Initiativen zusammen.
Tschechisches Zentrum München
Prinzregentenstr. 7
80538 München
http://www.czechcentres.cz/munich
ccmunich@czech.cz
Tel. +49-89/2102-4932
Fax +49-89/2102-4933",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.142342,11.593006
52340,Praterinsel,Cultural Site,Kulturstätte,"Kontaktdaten:
praterinsel – raum für events
praesidion gmbh
praterinsel 3-4
80538 münchen
www.prater-insel.de
kontakt@prater-insel.de
Tel.: +49 (0)89 21 23 83-0
Fax.: +49 (0)89 21 23 83-20",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.136491,11.590716
52341,Bürgerpark Oberföhring,Cultural Site,Kulturstätte,"Kontaktdaten:
Bürgerpark Oberföhring
Oberföhringer Str. 156
81925 München
Tel. 089-95 31 25
Fax 089-98 11 15",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.165930,11.623490
52342,Kafe Kult,Cultural Site,Kulturstätte,"Kontaktdaten:
Kafe Kult
Oberföhringer Str. 156
81925 München
http://www.kafekult.de/
Tel.: +49 89 95927692",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.165091,11.623020
52343,Optimolwerke,Cultural Site,Kulturstätte,"Kontaktdaten:
OSN Vermietungs GmbH
Friedenstr. 10
D-81671 München Germany
www.optimolwerke.de
Tel.: +49  (0)89 / 450 692  0
Fax.: +49  (0)89 / 490 027 33",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.125259,11.604459
52344,Einstein-Kultur,Cultural Site,Kulturstätte,"Kontaktdaten:
Einstein Kultur
Einsteinstraße 42
81675 München
http://einstein-kultur.de/
info@einsteinkultur.de
Tel.: +49 89 416173795
Fax: +49 (0)89 416173798",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.135562,11.601007
52345,freiraum e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
freiraum e.V.
Pestalozzistr. 8
80469 München
http://www.freiraum-ev.com/
Tel.: 089/ 260 74 03",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.131636,11.567308
52346,Sub e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Sub - Schwules Kommunikations- und Kulturzentrum
Müllerstr. 14
80469 München
https://www.subonline.org
info@subonline.org
Tel.: 089/8563464-00",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.132632,11.573533
52347,Sub e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Sub - Schwules Kommunikations- und Kulturzentrum
Müllerstr. 14
80469 München
https://www.subonline.org
info@subonline.org
Tel.: 089/8563464-00",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.132632,11.573533
52348,Kardinal Wendel Haus,Cultural Site,Kulturstätte,"Kontaktdaten:
Katholische Akademie in Bayern
Mandlstraße 23
80802 München
http://kwh.kath-akademie-bayern.de/
info@kath-akademie-bayern.de
Telefon 0 89 / 38 10 2-0
Telefax 0 89 / 38 10 21 03",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.159868,11.591649
52584,Atelierhaus FOE e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Atelierhaus FOE e.V.
Oberföhringer Str. 156
81925 München
www.atelierhaus-foe.de
admin@atelierhaus-foe.de",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.165817,11.623551
52585,Alte Mensa im oly-dorf,Cultural Site,Kulturstätte,"Kontaktdaten:
Alte Mensa im Oly-dorf
Helene-Meyer-Ring 9
80809 München
http://www.studentenwerk-muenchen.de/kultur/
christian.wahlster@studentenwerk.mhn.de
Tel: 089 / 35789732
Fax: 089 / 35789735",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.179866,11.552398
52586,Seidlvilla Verein e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Seidlvilla Verein e.V.
Nikolaiplatz 1b
80802 München
http://www.seidlvilla.de/
info@seidlvilla.de
Tel.: 089-33 31 39
Fax.: 089-34 02 95 66",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.158475,11.587476
52587,Buddhistische Zentren Bayern d.K.K.L. e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Buddhistische Zentren Bayern d.K.K.L. e.V.
Gabelsbergerstr. 52/Rgb
80333 München
http://www.buddhismus-bayern.de/
info@buddhismus-bayern.de
Tel.: 089 - 90547633",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.162089,11.588420
52588,soundcafe - music&more,Cultural Site,Kulturstätte,"Kontaktdaten:
soundcafe - music&more
Traubestraße 5
80805 München
http://www.jkw-soundcafe.de/
soundcafe@kjr-m.de
Tel.: 089 361 84 07
Fax.: 089 366 740",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.171767,11.592293
52589,Orff-Zentrum München,Cultural Site,Kulturstätte,"Kontaktdaten:
Orff-Zentrum München
Staatsinstitut für Forschung und Dokumentation
Kaulbachstr. 16
D-80539 München  
http://www.orff-zentrum.de/
kontakt@orff-zentrum.de 
Tel.: +49 89 - 288 105 0
Fax: +49 89 - 288 105 33",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.147881,11.583417
52590,Sendlinger Kultuschmiede e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Sendlinger Kultuschmiede e.V.
Daiserstraße 22
81371 München
http://www.sendlinger-kulturschmiede.de/
mail@sendlinger-kulturschmiede.de
Tel.: 089/761435",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.119972,11.543713
52591,Werkhaus e.V.,Cultural Site,Kulturstätte,"Kontaktdaten:
Werkhaus e. V.
Leonrodstr. 19
80634 München
http://www.werkhaus-ev.de/
buero@werkhaus-ev.de
Tel.: 089 / 16 61 02
Fax: 089 / 189 2 11 20",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.153504,11.535540
52592,Häusler Contemporary München,Cultural Site,Kulturstätte,"Kontaktdaten:
Häusler Contemporary München
Maximilianstraße 35, Eingang Herzog-Rudolf-Straße
D – 80539 München
http://haeusler-contemporary.com/
muenchen@haeusler-contemporary.com
Tel.: +49 89 21 09 80 3
Fax.: +49 89 21 09 80 55",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.139509,11.584053
52593,Kolpinghaus München-Zentral GmbH,Cultural Site,Kulturstätte,"Kontaktdaten:
Kolpinghaus München-Zentral GmbH
Adolf-Kolping-Straße 1
80336 München
http://www.kolpinghaus-muenchen-zentral.de/
Telefon: +49 (0) 89 / 5 51 58-116
Telefax: +49 (0) 89 / 5 51 58-160",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.138077,11.561469
52594,Israelitische Kultusgemeinde München und Oberbayern K.d.ö.R.,Cultural Site,Kulturstätte,"Kontaktdaten:
Israelitische Kultusgemeinde München und Oberbayern K.d.ö.R.
St.-Jakobs-Platz 18
80331 München
info@ikg-m.de
http://www.ikg-m.de/
Tel: +49 (0)89 20 24 00 -100
Fax: +49 (0)89 20 24 00 -170",,Appointment not needed,Not child friendly,No Volunteer Opportunities,Not accessible by public transport,,,Freier Eintritt,,,Not accessible,,,,,48.134676,11.571640
