name,short description,addr:country,addr:orig_street,addr:housenumber,addr:postcode,addr:city,contact:phone,contact:email,contact:website,identity,main tag,lat,lon,addr:street,place
Fairmondo,,Germany,Glogauer Strasse,21,10999,Berlin,+49 30 89615845,email@fairmondo.de,https://http://fairmondo.de,solidarity_economy;economy_for_the_common_good ,consumer cooperative;online platform,52.4921537,13.4369794,Glogauer Straße,isolated_dwelling
Forum Kreuzberg,,Germany,Köpenicker Strasse,174,10997,Berlin,+49 30 6110890 ,office@forumkreuzberg.de,http://www.forumkreuzberg.de,economy_for_the_common_good  ,housing cooperative;community run theatre,52.4190733,13.4979081,Köpenicker Straße,isolated_dwelling
freiLand Potsdam,,Germany,Friedrich-Engels-Strasse,22,14473,Potsdam,+49 176 32539322,office@freiland-potsdam.de,http://freiland-potsdam.de/about,commons,cultural centre;community centre,52.3895574,13.0776968773153,Friedrich-Engels-Straße,isolated_dwelling
Friedelpraxis,,Germany,Friedelstrasse,3a,12047,Berlin,+49 30 42027404,friedelpraxis@gmx.de,http://shiatsu-tcm-praxis.de,solidarity_economy,health;curative treatment,52.4874558,13.4280605,Friedelstraße,isolated_dwelling
fsk-Kino und Peripher Filmverleih,,Germany,Segitzdamm,2,10969,Berlin,+49 30 6142464,post@fsk-kino.de,http://fsk-kino.de,solidarity_economy,independent cinema,52.5015918,13.4146103,Segitzdamm,isolated_dwelling
GleisBeet,,Germany,Helsingforser Strasse,19,10243,Berlin,,bella@gleisbeet.de,http://gleisbeet.de,commons;permaculture;subsistence_economy,community garden;urban gardening;urban permaculture,52.5094,13.4465348,Helsingforser Straße,isolated_dwelling
Heilehaus e.V.,,Germany,Waldemarstrasse,36,10999,Berlin,+49 30 6154747,heilehaus@gmx.de,http://heilehaus-berlin.de,solidarity_economy;p2p_economy,health;educational work,52.503465,13.4191724134146,Waldemarstraße,isolated_dwelling
Hinkelsteindruck ,,Germany,Lausitzer Platz,15,10997,Berlin,+49 30 4224853,info@hinkelstein-druck.de,http://hinkelstein-druck.de,solidarity_economy,printing cooperative,52.5009551,13.4305702,Lausitzer Platz,isolated_dwelling
k-fetisch,,Germany,Wildenbruchstrasse,86,12045,Berlin,,info@k-fetisch.net,http://kfetisch.blogsport.de,solidarity_economy,cafe collective;literature;events,52.483116,13.4417888,Wildenbruchstraße,isolated_dwelling
Kraut & Rüben,,Germany,Oranienstrasse,15,10999,Berlin,+49 30 6141075,krautis@kraut-und-rüben-berlin.de,http://kraut-und-rueben-berlin.de,solidarity_economy,women's collective;natural food collective;organic store,52.5006163,13.4231403,Oranienstraße,isolated_dwelling
Kreuzberger Taxi-Genossenschaft,,Germany,Cuvrystrasse,20a,10997,Berlin,+40 30 6126337,,,solidarity_economy,taxi collective,52.4976425,13.4430035,Cuvrystraße,isolated_dwelling
Kunst-Stoffe Berlin,,Germany,Berliner Strasse,17,13189,Berlin,+49 30 34089840,info@kunst-stoffe-berlin.de,http://kunst-stoffe-berlin.de,economy_for_the_common_good;degrowth,material reuse;arts;theatre;DIY;workshop for repair of goods,52.4869785,13.3284354,Berliner Straße,isolated_dwelling
La vida verde,,Germany,Föhrer Strasse,6,13353,Berlin,,info@lavidaver.de,http://lavidaver.de/,solidarity_economy;subsistence_economy,collective housing project,52.5408354,13.347736,Föhrer Straße,isolated_dwelling
Leila Berlin,,Germany,Fehrbelliner Strasse,92,10119,Berlin,,hallo@leila-berlin.de,http://leila-berlin.de,economy_for_the_common_good;transition_initiative;degrowth,sharing;free store,52.5313908,13.408046,Fehrbelliner Straße,isolated_dwelling
Mehringhof,,Germany,Gneisenaustrasse,2a,10961,Berlin,+49 30 6918021,mehringhof@ipn.de,http://mehringhof.de,commons;solidarity_economy,project centre;public events;culture,52.4919181,13.3882686,Gneisenaustraße,isolated_dwelling
Meuterei,,Germany,Reichenberger Strasse,58,10999,Berlin,,meuterei@riseup.net,http://meute.blogsport.de/,solidarity_economy,bar collective;political work;events,52.4958086,13.4287965,Reichenberger Straße,isolated_dwelling
NETZ für Selbstverwaltung und Kooperation Berlin-Brandenburg e.V. ,,Germany,Crellestrasse,6,10827,Berlin,,info@netz-bb.de,http://netz-bb.de,solidarity_economy,"network for cooperatives, initiatives and solidarity economy companies;radio;housing projects",52.4869985,13.3586952,Crellestraße,isolated_dwelling
Netzwerk Selbsthilfe e.V.,,Germany,Gneisenaustrasse,2a,10961,Berlin,+49 30 6913072,mail@netzwerk-selbsthilfe.de,http://netzwerk-selbsthilfe.de,economy_for_the_common_good,Advice centre;Self help contact point;project funding,52.4919181,13.3882686,Gneisenaustraße,isolated_dwelling
OH*21 Buchhandlung,,Germany,Oranienstrasse,21,10999,Berlin,+49 30 6152226,kontakt@oh21.de,http://www.oh21.de,solidarity_economy,book store,52.5006969,13.4218696,Oranienstraße,isolated_dwelling
praxiskollektiv: reiche121,,Germany,Reichenbergerstrasse,121,10999,Berlin,+49 30 6126643,,http://praxiskollektiv.de/,solidarity_economy,medical collective;not-for-profit;naturopathic practice,52.4952056,13.432122,Reichenberger Straße,isolated_dwelling
prinzessinnengärten,,Germany,Prinzenstrasse,35-38,10969,Berlin,+49 176 24332297,kontakt@prinzessinnengarten.net,http://prinzessinnengarten.net/,subsistenz_economy;permaculture,urban gardening;neighborhood development,52.5028712,13.4110632,Prinzenstraße,isolated_dwelling
Projekthaus Potsdam,,Germany,Rudolf-Breitscheid-Strasse,164,14482,Potsdam,+49 331 70476680,info@foerderverein-inwole.de;info@projekthaus-potsdam.de,http://projekthaus-potsdam.de,commons;transition_initiative,community centre;cultural events;collective housing project;coworking space,52.39536825,13.1197222873162,Rudolf-Breitscheid-Straße,isolated_dwelling
Quartiermeister ,,Germany,Oranienstrasse,183,10999,Berlin,+49 178 1897899;+49 176 55167588,info@quartiermeister.org,http://quartiermeister.org/de/,economy_for_the_common_good,local beer;social business,52.5007723,13.4206773,Oranienstraße,isolated_dwelling
Radspannerei,,Germany,Kottbusser Strasse,8,10999,Berlin,+49 30 61507218,mail@rad-spannerei.de,http://rad-spannerei.de,solidarity_economy,bicycle shop;bicycle workshop,52.4975481,13.4187866,Kottbusser Straße,isolated_dwelling
Regenbogenfabrik,,Germany,Lausitzer Strasse,22,10999,Berlin,+49 30 6957950,"info@regenbogenfabrik.de, kontakt@regenbogenfabrik.de",http://regenbogenfabrik.de,solidarity_economy ,bicycle workshop;wood workshop;hostel;canteen;cinema;squatters' project,52.4959201,13.4261779,Lausitzer Straße,isolated_dwelling
Repair Café Kreuzberg,,Germany,Alexandrinenstrasse,4,10969,Berlin,,repaircafe@kunst-stoffe-berlin.de,http://repaircafe.org/de/geschehen/repair-cafe-berlin-kreuzberg/;https://www.kunst-stoffe-berlin.de/repair-cafe-de,subsistence_economy;degrowth,DIY;self help workshop;repair café;non-commercial,52.4992441,13.4005065884047,Alexandrinenstraße,isolated_dwelling
Schnittstelle,,Germany,Urbanstrasse,100,10967,Berlin,+49 176 54392783,schnittstelle@jpberlin.de,http://schnittstelle.blogsport.de,p2p_economy;solidarity_economy;degrowth,producer-to-consumer direct marketing,52.4898742,13.422358,Urbanstraße,isolated_dwelling
Schwarze Risse,,Germany,Gneisenaustrasse,2,10961,Berlin,+49 30 6928779,mehringhof@schwarzerisse.de,http://schwarzerisse.de,solidarity_economy;degrowth,book collective;book store,52.4919085,13.3887467,Gneisenaustraße,isolated_dwelling
Siebdruckwerkstatt Neukölln,,Germany,Pflügerstrasse,11,12047,Berlin,+49 30 51059745,druckerei@sdw-neukoelln.de,http://sdw-neukoelln.de,solidarity_economy;p2p_economy,DIY;handicraft;silkscreen,52.491287,13.4281954,Pflügerstraße,isolated_dwelling
SO36,,Germany,Oranienstrasse,190,10999,Berlin,+49 30 61401306,post@so36.de,http://so36.de,solidarity_economy,concert collective;concert venue;events,52.5004159,13.4221967,Oranienstraße,isolated_dwelling
SOG - Selbstverwaltete Ostberliner GenossInnenschaft eG,,Germany,Kreutzigerstrasse,23,10247,Berlin,+49 30 54719690,buero@sogeg.de,http://sogeg.de,commons;solidarity_economy;subsistence_economy,housing cooperative,52.5136952,13.4605612,Kreutzigerstraße,isolated_dwelling
Spent Brewers Collective,,Germany,Voigtstrasse,36,10247,Berlin,+49 178 7108005,info@spentcollective.de,http://spentcollective.de,solidarity_economy,brewers' collective;beverage collective;food,52.5162941,13.4681914,Voigtstraße,isolated_dwelling
Tante Horst,,Germany,Oranienstrasse,45,10999,Berlin,+49 30 39509022,info@tantehorst.de,http://tantehorst.de,solidarity_economy,gastronomy;events,52.5028285,13.414068,Oranienstraße,isolated_dwelling
TAZ Genossenschaft,,Germany,Rudi-Dutschke-Strasse,23,10923,Berlin,+49 30 25902213,geno@taz.de,http://www.taz.de/!p4271/,solidarity_economy,publishing cooperative,52.506667,13.3916481,Rudi-Dutschke-Straße,isolated_dwelling
Thinkfarm Berlin,,Germany,Oranienstrasse ,183,10999,Berlin,+49 30 577044711,,http://thinkfarm.de,"solidarity_economy;commons, degrowth",coworking space,52.5007723,13.4206773,Oranienstraße,isolated_dwelling
Trial & Error Kulturlabor,,Germany,Mareschstrasse,10,12055,Berlin,,email@trial-error.org,http://trial-error.org/;http://kulturlabortrialerror.jimdo.com,p2p_economy;demonetized_economy,"DIY, handicraft, open-source, upcycling",52.4751239,13.4525953,Mareschstraße,isolated_dwelling
Tristeza,,Germany,Pannierstrasse,5,12047,Berlin,+49 30 27497066,info@tristeza.org,http://tristeza.org,solidarity_economy,bar collective;gastronomy,52.4865362,13.430952,Pannierstraße,isolated_dwelling
Ula - Die erste Umsonstlädin,,Germany,Einsteinufer,25,10587,Berlin,,,http://ula.blogsport.de,solidarity_economy;degrowth,Give-away store,52.5157879,13.3263413,Einsteinufer,isolated_dwelling
Umbruch-Bildarchiv,,Germany,Lausitzer Strasse,10,10999,Berlin,+49 30 6123037,post@umbruch-bildarchiv.de,http://umbruch-bildarchiv.de,solidarity_economy,media platform;political work;anti-racism,52.4973623,13.428614,Lausitzer Straße,isolated_dwelling
Umverteiler,,Germany,Charlottenstrasse,28,14467,Potsdam,,kontakt@umverteiler.de,http://umverteiler.de,solidarity_economy;degrowth,free store,52.3992688,13.0550063,Charlottenstraße,isolated_dwelling
Weltladen Prenzlauer Berg,,Germany,Wörther Strasse,28,10405,Berlin,+49 30 65075586,info@weltladen-zeichenderzeit.de,http://weltladen-zeichenderzeit.de/,solidarity_economy,fair trade store,52.5231469,13.2008561,Wörther Straße,isolated_dwelling
Weltraum - Nachbarschaftsladen,,Germany,Ratiborstrasse,4,10999,Berlin,+49 30 61652466,kiezwandler@transition-berlin-brandenburg.de,http://kiezweltraum.de,commons;solidarity_economy,DIY;non-commercial;self help;neighborhood initiative,52.4936415,13.4397016,Ratiborstraße,isolated_dwelling
Wikiprojekt Werkstatt-Lastenrad,,Germany,Karpfenteichstrasse,13,12435,Berlin,,netzwerk@werkstatt-lastenrad.de,http://werkstatt-lastenrad.de,commons;p2p_economy,DIY;open-source;knowledge commons;online platform,52.4822835,13.465483,Karpfenteichstraße,isolated_dwelling
Wissenschaftsladen Potsdam,,Germany,Lindenstrasse,47,14467,Potsdam,+49 331 23538069,info@wissenschaftsladen-potsdam.de,http://wissenschaftsladen-potsdam.de,commons;p2p_economy,knowledge commons;educational work;project centre;events;culture,52.3992731,13.0518407,Lindenstraße,isolated_dwelling
Wohnprojekt Schöneiche,,Germany,Bismarckstrasse,39,15566,Schöneiche,+49 30 64095979,heikemeves@arcor.de,http://wohnprojekt-schoeneiche.de,commons;transition initiative,"collective housing, collective workshop;neighbourhood project",52.4579205,13.7044664,Bismarckstraße,isolated_dwelling
Ida Nowhere,,Germany,Donaustrasse,79,12043,Berlin,+49 163 4921813,kkwm@ida-nowhere.com,http://www.ida-nowhere.com,demonetized_economy;commons,,52.4781803,13.4429672,Donaustraße,isolated_dwelling
Nachbarschaftsgarten Ton-Steine-Gärten,,Germany,Mariannenplatz,2,10997,Berlin,,tonsteinegaerten@gmx.de ,http://gaerten-am-mariannenplatz.blogspot.de/,subsistence_economy;commons,,52.5040614,13.4234804,Mariannenplatz,isolated_dwelling
Projektehof Karlshof / Karla_hof,,Germany,Karlshof,,17268,Templin,,april-april@gegenseitig.de ,http://gegenseitig.de/unsere-pag/april-april-auf-dem-karlshof.html,demonetized_economy;subsistence_economy,non-commercial;collective work;collective agriculture,53.0918016,13.4996587,Karlshof;L 216,town
"WUKANIA Projektehof, Wukania e.V. ",,Germany,Ruhlsdorfer Strasse,45,16359,Biesenthal,+49 3337 431926,info@wukania.net,http://wukania.net,commons;p2p_economy,collective housing;multigenerational housing project,52.7673286,13.6170823,Ruhlsdorfer Straße,town
