name	short description	addr:country	addr:street	addr:housenumber	addr:postcode	addr:city	contact:phone	contact:email	contact:website	identity	main tag
GleisBeet		Germany	Helsingforser Strasse	19	10243	Berlin		bella@gleisbeet.de	http://gleisbeet.de	commons; permaculture; subsistence_economy	community garden; urban gardening; urban permaculture
Hanffaser Uckermark eG		Germany	Bruessower Allee	88	17291	Prenzlau	+49 (0)3984 - 807 730	info@hanffaser.de	http://hanffaser.de/uckermark	solidarity_economy	agriculture; ecology; collective
Heilehaus e.V.		Germany	Waldemarstrasse	36	10999	Berlin	+49 30 6154747	heilehaus@gmx.de	http://heilehaus-berlin.de	solidarity_economy; p2p_economy	health; educational work
Hinkelsteindruck 		Germany	Lausitzer Platz	15	10997	Berlin	+49 30 4224853	info@hinkelstein-druck.de	http://hinkelstein-druck.de	solidarity_economy	printing cooperative
k-fetisch		Germany	Wildenbruchstrasse	86	12045	Berlin		info@k-fetisch.net	http://kfetisch.blogsport.de	solidarity_economy	cafe collective; literature; events
Kommunität Grimnitz e.V.		Germany	Grimnitzer Strasse	11	16247	Joachimsthal	+49 33361 70626	info@kommunitaet-grimnitz.de 	http://kommunitaet-grimnitz.de	commons; solidarity_economy	cohabitation; religion
Kraut & Rüben		Germany	Oranienstrasse	15	10999	Berlin	+49 30 6141075	krautis@kraut-und-rüben-berlin.de	http://kraut-und-rueben-berlin.de	solidarity_economy	women's collective; natural food collective; organic store
Kreuzberger Taxi-Genossenschaft		Germany	Cuvrystrasse	20a	10997	Berlin	+40 30 6126337			solidarity_economy	taxi collective
Kunst-Stoffe Berlin		Germany	Berliner Strasse	17	13189	Berlin	+49 30 34089840	info@kunst-stoffe-berlin.de	http://kunst-stoffe-berlin.de	economy_for_the_common_good; degrowth	material reuse; arts; theatre; DIY; workshop for repair of goods
La vida verde		Germany	Föhrer Strasse	6	13353	Berlin		info@lavidaver.de	http://lavidaver.de/	solidarity_economy; subsistence_economy	collective housing project
Leila Berlin		Germany	Fehrbelliner Strasse	92	10119	Berlin		hallo@leila-berlin.de	http://leila-berlin.de	economy_for_the_common_good; transition_initiative; degrowth	sharing; free store
Mehringhof		Germany	Gneisenaustrasse	2a	10961	Berlin	+49 30 6918021	mehringhof@ipn.de	http://mehringhof.de	commons; solidarity_economy	project centre; public events; culture
Meuterei		Germany	Reichenberger Strasse	58	10999	Berlin		meuterei@riseup.net	http://meute.blogsport.de/	solidarity_economy	bar collective; political work; events
Mietshäusersyndikat Berlin-Brandenburg		Germany						berlin-brandenburg@syndikat.org	http://syndikat.blogsport.eu/	solidarity_economy; subsistence_economy	advice centre; self help contact point
NETZ für Selbstverwaltung und Kooperation Berlin-Brandenburg e.V. 		Germany	Crellestrasse	6	10827	Berlin		info@netz-bb.de	http://netz-bb.de	solidarity_economy	network for cooperatives, initiatives and solidarity economy companies; radio; housing projects
Netzwerk Selbsthilfe e.V.		Germany	Gneisenaustrasse	2a	10961	Berlin	+49 30 6913072	mail@netzwerk-selbsthilfe.de	http://netzwerk-selbsthilfe.de	economy_for_the_common_good	Advice centre; Self help contact point; project funding 
OH*21 Buchhandlung		Germany	Oranienstrasse	21	10999	Berlin	+49 30 6152226	kontakt@oh21.de	http://www.oh21.de	solidarity_economy	book store
Ökohof Waldgarten		Germany	Schönermarker Weg	23	16866	Barenthin	+49 33972 41458	oekohof-waldgarten@gmx.de	http://waldgarten.danasus.de/index.html	permaculture, solidarity_economy	Community Supported Agriculture
Ökolea		Germany	Hohensteiner Weg	3	15377	Klosterdorf	+49 3341 35 939 30	info@oekolea.de	http://oekolea.de	commons; transition_initiative; solidarity_economy	commune; bakery; cultural events; educational work
Oktoberdruck		Germany	Rudolfstrasse	1-8	10245	Berlin	+49 30 6953860	info@oktoberdruck.de	http://oktoberdruck.de	solidarity_economy	printing collective
OLiB Organischer Landbau in Bienenwerder		Germany	Bienenwerder	2b	15374	Müncheberg (Mark)	+49 33432 747333	bienenwerder@web.de	http://olib-ev.org	solidarity_economy	Community Supported Agriculture; organic farming
praxiskollektiv: reiche121		Germany	Reichenbergerstrasse	121	10999	Berlin	+49 30 6126643		http://praxiskollektiv.de/	solidarity_economy	medical collective; not-for-profit; naturopathic practice
prinzessinnengärten		Germany	Prinzenstrasse	35-38	10969	Berlin	+49 176 24332297	kontakt@prinzessinnengarten.net	http://prinzessinnengarten.net/	subsistenz_economy; permaculture	urban gardening; neighborhood development
Projekthaus Potsdam		Germany	Rudolf-Breitscheid-Strasse	164	14482	Potsdam	+49 331 70476680	info@foerderverein-inwole.de; info@projekthaus-potsdam.de	http://projekthaus-potsdam.de	commons; transition_initiative	community centre; cultural events; collective housing project; coworking space
Projektehof Karlshof / Karla_hof		Germany	Karlshof		17268	Templin		april-april@gegenseitig.de 	http://gegenseitig.de/unsere-pag/april-april-auf-dem-karlshof.html	demonetized_economy; subsistence_economy	non-commercial; collective work; collective agriculture
Quartiermeister 		Germany	Oranienstrasse	183	10999	Berlin	+49 178 1897899; +49 176 55167588	info@quartiermeister.org	http://quartiermeister.org/de/	economy_for_the_common_good	local beer; social business
Radspannerei		Germany	Kottbusser Strasse	8	10999	Berlin	+49 30 61507218	mail@rad-spannerei.de	http://rad-spannerei.de	solidarity_economy	bicycle shop; bicycle workshop
Regenbogenfabrik		Germany	Lausitzer Strasse	22	10999	Berlin	+49 30 6957950	info@regenbogenfabrik.de, kontakt@regenbogenfabrik.de	http://regenbogenfabrik.de	solidarity_economy 	bicycle workshop; wood workshop; hostel; canteen; cinema; squatters' project
Repair Café Kreuzberg		Germany	Alexandrinenstrasse	4 	10969	Berlin		repaircafe@kunst-stoffe-berlin.de	http://repaircafe.org/de/geschehen/repair-cafe-berlin-kreuzberg/; https://www.kunst-stoffe-berlin.de/repair-cafe-de	subsistence_economy; degrowth	DIY; self help workshop; repair café; non-commercial
Schnittstelle		Germany	Urbanstrasse	100	10967	Berlin	+49 176 54392783	schnittstelle@jpberlin.de	http://schnittstelle.blogsport.de	p2p_economy; solidarity_economy; degrowth	producer-to-consumer direct marketing
Schwarze Risse		Germany	Gneisenaustrasse	2	10961	Berlin	+49 30 6928779	mehringhof@schwarzerisse.de	http://schwarzerisse.de	solidarity_economy; degrowth	book collective; book store 
Siebdruckwerkstatt Neukölln		Germany	Pflügerstrasse	11	12047	Berlin	+49 30 51059745	druckerei@sdw-neukoelln.de	http://sdw-neukoelln.de	solidarity_economy; p2p_economy	DIY; handicraft; silkscreen
SO36		Germany	Oranienstrasse	190	10999	Berlin	+49 30 61401306	post@so36.de	http://so36.de	solidarity_economy	concert collective; concert venue; events
SOG - Selbstverwaltete Ostberliner GenossInnenschaft eG		Germany	Kreutzigerstrasse	23	10247	Berlin	+49 30 54719690	buero@sogeg.de	http://sogeg.de	commons; solidarity_economy; subsistence_economy	housing cooperative
Spent Brewers Collective		Germany	Voigtstrasse	36	10247	Berlin	+49 178 7108005	info@spentcollective.de	http://spentcollective.de	solidarity_economy	brewers' collective; beverage collective; food
Tante Horst		Germany	Oranienstrasse	45	10999	Berlin	+49 30 39509022	info@tantehorst.de	http://tantehorst.de	solidarity_economy	gastronomy; events
TAZ Genossenschaft		Germany	Rudi-Dutschke-Strasse	23	10923	Berlin	+49 30 25902213	geno@taz.de	http://www.taz.de/!p4271/	solidarity_economy	publishing cooperative
Thinkfarm Berlin		Germany	Oranienstrasse 	183	10999	Berlin	+49 30 577044711		http://thinkfarm.de	solidarity_economy; commons, degrowth	coworking space
Trial & Error Kulturlabor		Germany	Mareschstrasse	10 	12055	Berlin		email@trial-error.org	http://trial-error.org/; http://kulturlabortrialerror.jimdo.com	p2p_economy; demonetized_economy	DIY, handicraft, open-source, upcycling 
Tristeza		Germany	Pannierstrasse	5	12047	Berlin	+49 30 27497066	info@tristeza.org	http://tristeza.org	solidarity_economy	bar collective; gastronomy
Ufa Fabrik		Germany	Viktoriastrasse	10-18	12105	Berlin	+49 30 75503116	info@ufafabrik.de	http://ufafabrik.de/de/index.php	solidarity_economy; global_ecovillage_network; 	cultural centre
Ula - Die erste Umsonstlädin		Germany	Einsteinufer	25	10587	Berlin			http://ula.blogsport.de	solidarity_economy; degrowth	Give-away store
Umbruch-Bildarchiv		Germany	Lausitzer Strasse	10 	10999	Berlin	+49 30 6123037	post@umbruch-bildarchiv.de	http://umbruch-bildarchiv.de	solidarity_economy	media platform; political work; anti-racism
Umverteiler		Germany	Charlottenstrasse	28	14467	Potsdam		kontakt@umverteiler.de	http://umverteiler.de	solidarity_economy; degrowth	free store
Weltladen Prenzlauer Berg		Germany	Wörther Strasse	28	10405	Berlin	+49 30 65075586	info@weltladen-zeichenderzeit.de	http://weltladen-zeichenderzeit.de/	solidarity_economy	fair trade store
Weltraum - Nachbarschaftsladen		Germany	Ratiborstrasse	4	10999	Berlin	+49 30 61652466	kiezwandler@transition-berlin-brandenburg.de	http://kiezweltraum.de	commons; solidarity_economy	DIY; non-commercial; self help; neighborhood initiative
Wikiprojekt Werkstatt-Lastenrad		Germany	Karpfenteichstrasse	13	12435	Berlin		netzwerk@werkstatt-lastenrad.de	http://werkstatt-lastenrad.de	commons; p2p_economy	DIY; open-source; knowledge commons; online platform
Wissenschaftsladen Potsdam		Germany	Lindenstrasse	47	14467	Potsdam	+49 331 23538069	info@wissenschaftsladen-potsdam.de	http://wissenschaftsladen-potsdam.de	commons; p2p_economy	knowledge commons; educational work; project centre; events; culture
Wohnprojekt Schöneiche		Germany	Bismarckstrasse	39	15566	Schöneiche	+49 30 64095979	heikemeves@arcor.de	http://wohnprojekt-schoeneiche.de	commons; transition initiative	collective housing, collective workshop; neighbourhood project
WUKANIA Projektehof, Wukania e.V. 		Germany	Ruhlsdorfer Strasse	45	16359	Biesenthal	+49 3337 431926	info@wukania.net	http://wukania.net	commons; p2p_economy	collective housing; multigenerational housing project
ZEGG Zentrum für Experimentelle Gestaltung		Germany	Rosa-Luxemburg-Strasse	89	14806	Bad Belzig	+49 33841 595100	empfang@zegg.de	http://zegg.de	global_ecovillage_network	collective housing; educational centre
handgewebt in Berlin		Germany	Prinzenallee	 58D	13359	Berlin	+49 157 75348418	dagmarrehse@gmx.de	http://handgewebtinberlin.wordpress.com	p2p_economy	workshop for manufacture or repair of goods
Ida Nowhere		Germany	Donaustrasse	79	12043	Berlin	+49 163 4921813	kkwm@ida-nowhere.com	http://www.ida-nowhere.com	demonetized_economy; commons	
Nachbarschaftsgarten Ton-Steine-Gärten		Germany	Mariannenplatz	2	10997	Berlin		tonsteinegaerten@gmx.de 	http://gaerten-am-mariannenplatz.blogspot.de/	subsistence_economy; commons	
